"","words","sentiments"
"932","आउँला",""
"933","संगसंगै",""
"934","साइनोले",""
"935","बाँधिदिउंला",""
"936","वचन",""
"937","मीठो",""
"938","गरि",""
"939","बोलि",""
"940","देऊ",""
"941","कुनै",""
"942","बहाना",""
"943","नलुकाई",""
"944","खोलिदेउन",""
"945","यही",""
"946","चाहा",""
"947","ना",""
"948","बाँधी",""
"949","टिपेर",""
"950","सिउँदो",""
"951","भर्रौंला",""
"952","मायाले",""
"953","बाँधे",""
"954","ज्यानै",""
"955","दि",""
"956","दिउंला",""
"957","बहेको",""
"958","झैँ",""
"959","सहि",""
"960","देखे",""
"961","भो",""
"962","सयौँ",""
"963","तरिदिउंला",""
"964","वहाँ",""
"965","पठाउनेलाई",""
"966","आइदिउंला",""
"967","गर्दिन",""
"968","बैमानी",""
"969","जुनी",""
"970","भैदिउंला",""
"971","खाईदिउंला",""
"972","चुल्ठी",""
"973","बाट्नेलाई",""
"974","पटुकी",""
"975","कस्नेलाई",""
"976","लैजाउं",""
"977","हौ",""
"978","ढाका",""
"979","टोपी",""
"980","लाउनेलाई",""
"981","आँखा",""
"982","सन्काउनेलाई",""
"983","रोजूं",""
"984","मिले",""
"985","साटौंला",""
"986","चोखो",""
"987","गांसौंला",""
"988","दिए",""
"989","डांडई",""
"990","काटौंला",""
"991","डांड्यै",""
"992","सिम",""
"993","खेतलाई",""
"994","सिमकै",""
"995","टारी",""
"996","कुलो",""
"997","बग्ने",""
"998","मूलको",""
"999","अन्जुलीले",""
"1000","पिउंला",""
"1001","दिन्छौ",""
"1002","सुम्पीदिउँला",""
"1003","वरपिपललाई",""
"1004","साँची",""
"1005","आजै",""
"1006","खान्छु",""
"1007","राजीखुशी",""
"1008","भयौ",""
"1009","यहि",""
"1010","मंसिरमा",""
"1011","लान्छु",""
"1012","वारी",""
"1013","व्यर्थ्यै",""
"1014","धाउनु",""
"1015","मनले",""
"1016","रोज्यो",""
"1017","घरमै",""
"1018","माग्न",""
"1019","पुग्छ",""
"1020","चाहिदैन",""
"1021","चाँदी",""
"1022","न्यानो",""
"1023","हृदय",""
"1024","कुना",""
"1025","सहन",""
"1026","सक्दिन",""
"1027","अरु",""
"1028","नजानी",""
"1029","छोएको",""
"1030","कल्पी",""
"1031","दिन्छ",""
"1032","पीडा",""
"1033","सम्हालू",""
"1034","खोइ",""
"1035","ज्यानलाई",""
"1036","विना",""
"1037","जूनी",""
"1038","सजिलै",""
"1039","काटिन्छ",""
"1040","आफै",""
"1041","हराउछु",""
"1042","थामी",""
"1043","ल्याइदिउंला",""
"1044","तिलहरी",""
"1045","बुलकी",""
"1046","इ",""
"1047","आगौको",""
"1048","सालैमा",""
"1049","धपक्कै",""
"1050","पियारी",""
"1051","सिरानी",""
"1052","राइफलको",""
"1053","मारुनी",""
"1054","नाच्छ",""
"1055","छमछम",""
"1056","छम्",""
"1057","थपनि",""
"1058","मुटुमै",""
"1059","सपनी",""
"1060","झनझन",""
"1061","झन्",""
"1062","जहिले",""
"1063","दोधारे",""
"1064","तीर",""
"1065","ल्याउंला",""
"1066","लाइरने",""
"1067","तेइ",""
"1068","गाइरने",""
"1069","विरह",""
"1070","मुटुले",""
"1071","पलपल",""
"1072","पल्",""
"1073","साँझै",""
"1074","आइरनी",""
"1075","झझल्को",""
"1076","आँखैमा",""
"1077","झलझल",""
"1078","झल्",""
"1079","गाउँघर",""
"1080","तहिले",""
"1081","चंगा",""
"1082","गीत",""
"1083","गाउँछु",""
"1084","गाउछु",""
"1085","बनोस्",""
"1086","हर",""
"1087","जोडीले",""
"1088","भनोस्",""
"1089","बनोस",""
"1090","राम्रा",""
"1091","होस्",""
"1092","मिठा",""
"1093","एक",""
"1094","धड्कन",""
"1095","जहाँहाँहाँ",""
"1096","नियालेर",""
"1097","आँखामा",""
"1098","पाउँछौ",""
"1099","चित्र",""
"1100","सजाई",""
"1101","सक्या",""
"1102","भित्र",""
"1103","प्यारो",""
"1104","लाग्दो",""
"1105","वसमा",""
"1106","हुँदो",""
"1107","हुदो",""
"1108","डुल्छ",""
"1109","वरिपरी",""
"1110","भुल्छ",""
"1111","सम्झीएर",""
"1112","घरीरीरीरी",""
"1113","फेर्नुपर्ने",""
"1114","सास",""
"1115","घटी",""
"1116","होइन",""
"1117","एकनास",""
"1118","तिमीसंग",""
"1119","दूर",""
"1120","हजुर",""
"1121","गर्ला",""
"1122","दुनियाले",""
"1123","गरोस्",""
"1124","जान्छ",""
"1125","बुट्टा",""
"1126","भर्ला",""
"1127","भरोस",""
"1128","हुम्मम",""
"1129","जाँदा",""
"1130","दुनियाँ",""
"1131","बदलेला",""
"1132","जरुर",""
"1133","तिमीविना",""
"1134","सत्य",""
"1135","हुन्छु",""
"1136","सादा",""
"1137","बिना",""
"1138","गर्दा",""
"1139","खुसि",""
"1140","भरपुर",""
"1141","टक्क",""
"1142","टाकन",""
"1143","टुकुन",""
"1144","रुरुरुरुरुरुरु",""
"1145","तिन",""
"1146","पाथी",""
"1147","मकै",""
"1148","कोदो",""
"1149","घट्टैमा",""
"1150","पिनेर",""
"1151","आईपुगें",""
"1152","हजुरलाई",""
"1153","भेट्न",""
"1154","धन्दा",""
"1155","छिनेर",""
"1156","हातमा",""
"1157","रुमाल",""
"1158","हल्लाऊदै",""
"1159","सिरैमा",""
"1160","सिरफुल",""
"1161","निधारमा",""
"1162","टिकी",""
"1163","क्या",""
"1164","भाकी",""
"1165","छेउ",""
"1166","भाकीछेऊ",""
"1167","सित",""
"1168","पिरिम",""
"1169","परेर",""
"1170","आकी",""
"1171","छेऊ",""
"1172","मोरी",""
"1173","राती",""
"1174","दौडिदै",""
"1175","हजुरको",""
"1176","सत्कारमा",""
"1177","लाटी",""
"1178","गाजल",""
"1179","लाउनै",""
"1180","हतारमा",""
"1181","लत्पतिएको",""
"1182","ओठको",""
"1183","लाली",""
"1184","तै",""
"1185","सुहाको",""
"1186","पैले",""
"1187","पिरतीले",""
"1188","नुहाको",""
"1189","भन्छु",""
"1190","मनका",""
"1191","सुन्छ्यौ",""
"1192","सम्म",""
"1193","मेरै",""
"1194","हुन्छ्यौ",""
"1195","हम्",""
"1196","सुन्छौ",""
"1197","हुन्छौ",""
"1198","मोडमा",""
"1199","रुनुपर्यो",""
"1200","परेली",""
"1201","छुन्छ्यौ",""
"1202","छुन्छौ",""
"1203","साथमा",""
"1204","हाँस्न",""
"1205","सजिलो",""
"1206","भविष्य",""
"1207","सम्झिएर",""
"1208","बाँच्न",""
"1209","मेरा",""
"1210","ती",""
"1211","हातले",""
"1212","यी",""
"1213","तिमीबाहेक",""
"1214","हुँदैन",""
"1215","अधूरा",""
"1216","सुम्पिदिन्छु",""
"1217","साइँली",""
"1218","परदेशबाट",""
"1219","आउला",""
"1220","चालीस",""
"1221","कटेसी",""
"1222","रमाउला",""
"1223","दियोमा",""
"1224","बत्ती",""
"1225","हुरुरु",""
"1226","नरुनु",""
"1227","नाम्लो",""
"1228","बरियो",""
"1229","भाबीको",""
"1230","खेलमा",""
"1231","परियो",""
"1232","गाउँघरको",""
"1233","तस्बीर",""
"1234","पिढीमा",""
"1235","जाँतो",""
"1236","घरर",""
"1237","झर्दो",""
"1238","आँसु",""
"1239","बरर",""
"1240","कुटुमा",""
"1241","सुपारी",""
"1242","दाना",""
"1243","हेर्दामा",""
"1244","जीउ",""
"1245","ज्यान",""
"1246","खाइलाग्दो",""
"1247","जागिरे",""
